Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/2/22/1;1523.21 9bre;;2;25,6 x 18,2 ;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/2;1523 24 9bre;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/3;1523 25 9bre;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/4;1523 7 xbre;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/5;1524 12 mai;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/6;1524 1er mai;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/7;1524 1er mai;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/8;1524 1er mai;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/9;1524 1er mai;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/10;1524 1er mai;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/11;1524 24 (5?) Juillet;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/12;1524 23 juillet;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/22/13;1524 24 obre;;2;25,6 x 18,2;cordelette rose en bas (avant), aspect cotonneux, aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/23/1;1523 xbre.30;;2;28,3 x 19,5;cordelette rose (avant), brunissement;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/23/2;1523/4 Janv.3;;2;28,3 x 19,5;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/24/1;1524/5 Janv 5;;3;27,6 x 20,2;cordelette rose (avant), aur‚oles, anciennes moisissures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/24/2;1524 5 9bre;;4;27,6 x 20,2;cordelette rose (avant), aur‚oles, anciennes moisissures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/25;136 1524/5 5;;1;27,5 x 19,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/26;1524/5.14 fevr;2;"cahier 1 : 17
cahier 2 : 57
total : 75";29 x 21 x 1,5;couverture ‚paisse en parchemin, aur‚oles, moisissures violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/27;1524 5 avril;;1;27,6 x 19,3;moisissures violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/28;1524 juin 6;;8;26,7 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/29;78 1524 12 juillet;;15;28,2 x 20,7 ;dernier feuillet trŠs fragile;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/30;119 1524 31 xbre ;;14;27,8 x 20,4;aur‚oles, moisissures violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/31;1524;;2;25,7 x 17,9;filigrane c?ur invers‚;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/32;1524;;2;18,4 x 12,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/33;1524/24 24 fev;;5;25,7 x 18 ;;;;;;;;;;;;;;;;;;;
;;1525 … 1529;1525 … 1527;1525 3 u.m.;3;Ms 4300/2/34;19 juin 1525;;20;28 x 20,6 x 0,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/35;1525;;1;25 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/36;1525;;2;25,2 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;1526 19 u.m.;10 (+ 9 doubles pages dans unit‚s =  19) ;Ms 4300/2/37;191 1526/27 30 janv;;1;28,1 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/38;192;;1;28,5 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/39;193;;4;28,5 x 20,1;"double page ""194"" … l'int‚rieur";;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/40;197;;19;29,2 x 20,5 x 0,5;"doubles pages de ""198"" … ""212"" … l'int‚rieur, aur‚oles, moisissures violettes ";;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/41;page vierge;;1;28,4 x 19,6;aur‚oles, moisissures violettes, traces infestation (galerie);;;;;;;;;;;;;;;;;;
 ;;;;;;Ms 4300/2/42;page une phrase;;1;28,2 x 19,3;aur‚oles, moisissures violettes, traces infestation (galerie);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/43;1526 6 fevr;;1;26,7 x 9,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/44;1526 7 avr;;2;30,7 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/45;1526 23 mai;;6;26 x 20 ;d‚chirure;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/46;1526 11 juin … 1529 16 ao–t;;16;28,2 x 20,5 x 0,5;couverture en parchemin clair, moisissures roses;;;;;;;;;;;;;;;;;;
;;;;1527 11 u.m.;8 (+ 3 doubles pages dans unit‚s = 11);Ms 4300/2/47;1527 11 janv;;2;25,2 x 18,4;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/48;1527/28 13 janv;;1;24,6 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/49;1527 18 mai;;1;27,5 x 22;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/50;1527 30 mai;;2;28,1 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/51;1527 6 juin;;4;18,7 x 13,4;une double page … l'int‚rieur;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/52;1527 30 ao–t;;5;18,7 x 13,7;deux feuillets … l'int‚rieur;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/53;1527 28 juin;;2;24,9 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/54;1527 28 xbre;;12;29,2 x 22;cordelette rose;;;;;;;;;;;;;;;;;;
;;;1528 et 1529;1528 5 u.m.;6;Ms 4300/2/55;1528-4 juillet;;4;26,5 x 19,9;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/56;1529/28 25 janv;;2;33,5 x 23;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/57;1527 14 xbre;;6;3,9 x 23,5 x 0,2;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/58;1528;;21;29,4 x 20 x 0,7;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/59;1633;;1;23,3 x 18,8;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/60/1;1613 2 mai;;4;25,5 x 18,5;reli‚ par une cordelettre orange (avant), restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/60/2;1633 4 xbre;;1;31,9 x 23;reli‚ par une cordelettre orange (avant), restaur‚ (2025), parchemin;;;;;;;;;;;;;;;;;;
;;;;1529 9 u.m.;6;Ms 4300/2/61;1529 19 avril … 1589 fevrier;;104;28 x 21 x 2,3; Restaur‚ (2025) 3 cahiers  Extrait d'un livre de raison Jean Pontac;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/62;1529/30 7 janv;;1;27,7 x 19;filigrane taureau, restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/63/1;1529 9 ao–t;;2;26,4 x 19 ;cordelette (avant), filigrane fleur de lys, restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/63/2;1637 19 Janv;;2;26,4 x 19;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/63/3;1637 16 Janvier;;1;26,4 x 19;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/63/4;1637 30 Janv;;2;26,4 x 19;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/64;1529 12 ao–t;;8;27,5 x 20,2 x 0,3;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/65;1529 3 7bre;;4;26,6 x20;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/66;1529 11 octobre;;6;27,3 x 19,6 x 0,1;Restaur‚ (2025);;;;;;;;;;;;;;;;;;
;;1530;;;38;Ms 4300/2/67;1530/31 5 janv;;1;27,1 x 18,8;brunissement;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/68;anpri;;6;27,5 x 20;pas de date;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/69;1530/31 6 janv;;4;25 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/70;1530/31 6 janv;;2;25,5 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/71;1530/31 15 janv … 1562;;24;13,9 x 11,7 x 0,5;couverture en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/72;1530/1531 2 fevr;;1;9 x 17,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/73;1530/1531 15 fevr;;2;28,2 x 20,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/74;1530/1531/15 fevr;;2;27,3 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/75/1;1530/31.15 fevr;;2;28 x 20,2 ;cordelette rouge (avant), filigrane main tendue;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/75/2;1542 23 8bre;;2;28 x 20,2 ;cordelette rouge (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/75/3;1542 21 9bre;;2;28 x 20,2 ;cordelette rouge (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/76;1530/31 15 mars ;;3;24,7 x 18,6 ;un feuillet 1530/15 mars … l'int‚rieur;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/77;1530 ao–t 24;;2;27,4 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/78;1530 3 8bre;;8;24,4 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/79;1530.8 octobre;;14;26 x 19;feuillets 5 … 12 de plus en plus d‚grad‚es, aspect cotonneux et moisissures violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/80;1530 17 8bre;;4;27,9 x 20,3;aspect cotonneux et moisissures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/81;1530 17 8bre 1520-1530;3;"cahier 1 : 44
cahier 2 : 44
cahier 3 : 32
total : 120";30 x 21,8 x 2,4;traces d'infestation (galerie et trous d'envol), moisissures noires (cahier 2), taches roses (cahier 3);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/82;1530 18 8bre;;5;26,5 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/83;1530 20 8bre;;4;25,5 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/84;1530 24 8bre … 1580;;2;25,9 x 20,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/85;1530 24 8bre;;2;25,1 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/86;1530-25 octobre;;2;26,9 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/87;1530.26 8bre;;2;29 x 19,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/88;1530 26 8bre;;1;25 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/89;1530 27 8bre;;2;25,2 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/90;1530 27 8bre;;1;24,8 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/91;1530.28 octobre;;2;27,8 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/92;1530 oct 30;;2;28,4 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/93;1530 30 8bre;;2;25,8 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/94/1;1530 6 9bre;;2;26,8 x 19,1;cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/94/2;1565 31 xbre;;1;16,8 x 21,8;cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/95;1530 10 9bre;;2;26,9 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/96/1;1530 14 9bre;;2;24,8 x 18,2;cordelette en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/96/2;29 octo 1559;;4;24,8 x 18,2;cordelette en bas (avant);;;;;;;;;;;;;;;;;;
