Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/2/97;1530 19 xbre;;2;25,4 x 18,7;;;;;;;;;;;;;;;;;;;
 ;;;;;;Ms 4300/2/98;1530 vu;;4;25,2 x 19,3;une double page … l'int‚rieur;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/99;"1530 ""pour""";;1;25,5 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/100;"1530 ""extrait""";;3;25 x 18,4;aur‚oles, cordelette;;;;;;;;;;;;;;;;;;
;"4300/3
(1531 … 1545)";1531;;;18;Ms 4300/3/1;1531;;4;"pli‚ = 20 x 14
 d‚pli‚ = 37,8 x 26,8";pli‚e en quatre;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/2;16 janvier 1531/31;;2;27,3 x 20,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/3;17 janvier 1531/32;;2;28,3 x 18,6;fort brunissement;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/4;1531/32 30 janv;;2;28,5 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/5;1531/32 5 fevr;;3;25,3 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/6;1531 31 mars;;21;28 x 21 x 0,8;demi-reliure en parchemin, aspect cotonneux au centre des feuillets;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/7;1531;;1;19,7 x 15,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/8;1531;;1;24,6 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/9;1531;;1;24,8 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/10;1531;;2;24,5 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/11;1531.20 ao–t;;2;25,7 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/12;1531 ao–t 20;;2;25,2 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/13;1531 30 ao–t;;2;25,7 x 17,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/14/1;1531-2 Septbre;;2;24,4 x 18,1;Attach‚ par une ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/14/2;18 may 1564;1;4;24,4 x 18,1;Attach‚ par une ficelle (avant), feuillets reli‚s par ficelle de parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/15;1531 6 7bre;;1;25,3 x 17,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/16;1531 28 7bre;;1;20 x 16,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/17;1531 26 7bre;;4;29 x 19,5;;;;;;;;;;;;;;;;;;;
;;1532 et 1533;;;33;Ms 4300/3/18;12 janv 1533/34.2 fev 1566;;30;25,6 x 19,6 x 0,8;couverture en parchemin, moisissures noires … la fin de l'um;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/19;1532/33 15 janv;;4;28 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/20/1;1532/33 18 fevr;;1;27,3 x 18,8; cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/20/2;1532 Mars;;2;27,7 x 18;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/20/3;1532/33 6 fev;;1;14,3 x 21,9;cordelette (avant), feuillet en parchemin, reste de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/21/1;1532 24 janv;;1;24 x 19,2;cordelette au milieu (avant), feuillet en parchemin, restes de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/21/2;1532/33 24 Janv;;1;27,5 x 18,3;cordelette au milieu (avant), restes de cire rouge, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/21/3;1532/33 7 fev;;1;13,3 x 18,5;cordelette au milieu (avant), aur‚oles, lacune, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/21/4;1532/33 2 fev;;1;26,9 x 19;cordelette au milieu (avant), aur‚oles, lacune, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/21/5;1532/33 7(2?) fev;;2;25,6 x 18,5 ;cordelette au milieu (avant), aur‚oles, lacune, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/21/6;1532/33 4 mars;1;12;27,9 x 19,1;cordelette au milieu (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/22;1532/33.8 fevr;;18;28,7 x 19,5 x 0,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/23;1532 29 juin;;2;23,8 x 19,6;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/24;1532 4 7bre;;6;25,6 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/25;1532 10 9bre;;2;27,3 x 19,1;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/26;1532 23 novembre;;2;28,6 x 19,6;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/27;1532 19 xbre;;10;27,8 x 20,6 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/28;1532;;4;29,2 x 20,4 ;aur‚oles, d‚chirures au centre, ancienne r‚paration ruban adh‚sif sur le dernier feuillet;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/29;1532;;1;30,2 x 22;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/30;1533 15 fev;;2;27,3 x 19,7;aur‚oles, d‚chirure au niveau du pli central;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/31;1533/34 2 mars;;8;25,8 x 19 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/32;1533/34 26 mars;;1;27,3 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/33;1533.9 juillet;;4;27,4 x 20,1 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/34/1;1533.8 9bre;;1;13,9 x 16,2;cordelette (avant), reste de cire rouge, feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/34/2;1533 14 9bre;;1;9,1 x 18,5;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/34/3;1533 12 9bre;;2;27,5 x 18,8;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/34/4;1533 14 9bre;;1;21,2 x 19,1;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/34/5;1533/34 9 Janv;;1;14,1 x 18,8;cordelette (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/34/6;1533/4. 9 Janv;;1;27,1 x 18,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/35;1533 15 9bre;;8;27,8 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/36;1533;;1;27,5 x 20,1;aur‚ole;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/37;sans date;;2;27,5 x 20,1;aur‚ole;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/38;sans date;;1;27,4 x 20;aur‚ole;;;;;;;;;;;;;;;;;;
;;1534 et 1539;;;54;Ms 4300/3/39;1534 23 ao–t;;5;25,6 x 18,5;aur‚oles, cordelette rose ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/40;1534-25 novbre;;35;33,3 x 22,5 x 1,2;agraphe, aur‚oles, moisissures violettes ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/41;1535 12 mai;;1;24,2 x 23;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/42;1535 juillet 24;;10;28,5 x 18,6 ;filigrane serpent-licorne;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/43;1535 14 ao–t;;6;28,5 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/44/1;1535 29 8bre;;1;20,5 x 20,3;cordelette rose (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/44/2;1535 3 9bre;;8;29,5 x 20,7;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/45;1535 7 xbre;;2;30,6 x 20,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/46;1535 18 8bre;;4;28,9 x 20,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/47;vers 1535;;4;27,5 x 20,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/48;1536/37 31 janv;;1;25,2 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/49/1;1536/37 10 fevr;1;6;26,3 x 19,1 ;Attache en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/49/2;1536/37 10 fev;1;8;26,3 x 19,1;Attache en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/49/3;1536/37 10 fev;1;11;26,3 x 19,1;Attache en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/49/4;1538/39 14 fev;1;8;26,3 x 19,1;Attache en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/49/5;1538/39 14 fev;1;6;26,3 x 19,1;Attache en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/49/6;1539 26 Mai;1;6;26,3 x 19,1;Attache en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/50/1;1536 1 mars;1;8;31,5 x 20,4 ;2 attaches en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/50/2;1536 26 fev;;1;25,9 x 17,4;2 attaches en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/50/3;1537 8 j.... (?);;2;30,3 x 20,1;2 attaches en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/50/4;1537 2 may;;2;31,5 x 20,7;2 attaches en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/51;1536 27 mars;;6;25,8  20,1 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/52;1536 19 avril;;2;24,9 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/53;1536 25 avril;;2;24,9 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/54;1536 25 avril;;4;27,7 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/55;1536.avril;;2;25,1 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/56/1;1536 26 ao–t;;1;28,4 x 20,5;cordelette rose (avant), lacune, aspect cotonneux, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/56/2;28 ao–t 1536;;2;28,8 x 20,8;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/56/3;1536 30 aout;;1;28,6 x 20,5;cordelette rose (avant), lacune, aspect cotonneux, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/56/4;1536 4 7bre;;1;28,5 x 20,4;cordelette rose (avant), lacune, aspect cotonneux, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/56/5;1536 9 7bre;;1;28,7 x 20,4;cordelette rose (avant), lacune, aspect cotonneux, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/56/6;1536 11 7bre;;2;29 x 20,4;cordelette rose (avant), lacune, aspect cotonneux, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/56/7;1536 12 7bre;;2;28,9 x 20,2;cordelette rose (avant), lacune, aspect cotonneux, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/57;1536 29 7bre;;2;25,5 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/58;1536 29 7bre;;2;25 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/59;1536-1581;;4;25,8 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/60/1;1537/38 16 mars;1;6;28,8 x 21,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/60/2;1544 20 juin;1;6;27,7 x 20,6;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/60/3;1591 21 mars/ 1590 30 7bre;1;13;27,9 x 20;cordelette (avant), reli‚ avec cordelette de parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/61;1537 28 avril;;6;27,5 x 21;apsect cotonneux, dos trŠs fragile;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/62;1537 3 7bre;;4;25 x 17,2;dernier feuillet : filigrane taureau avec coeur entre les cornes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/63;1537 27 8bre;;1;26,1 x 17,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/64;1537 31 8bre;;2;25,5 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/65;1537 a la plane;;2;25,6 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/66;1538/39.8 janv;;8;29 x 20,3 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/67;1538/39 8 janvier;;10;26,3 x 19 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/68;1538;;4;25,5 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/69;1539/40 13 janv;;2;28,2 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/70;1539/40 13.janv;;2;28,4 x 19,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/71;1539.19 mai;;6;34,2 x 21,1;dernier feuillet : filigrane blason, lions et trois croix;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/72;15 ao–t 1539;;4;33 x 21,2 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/73;1539 12 9bre;;4;26,5 x 20 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/74;1539 8 xbre;;12;25,9 x 17 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/75;1539 10 xbre;;1;25 x 18,2;;;;;;;;;;;;;;;;;;;
;;1540 … 1545;;;64;Ms 4300/3/76;1540 14 avril;;8;31,3 x 21,5 x 0,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/77;1540 17 avril;;2;30,5 x 20,7;taches brunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/78;1540 avril 21;;2;26 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/79;1540 13 mai;;1;26 x 17,5;trŠs abŒm‚, fragile;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/80;1540 20 mai;;2;26,3 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/81;1540 20 mai;;2;30,5 x 20,9;aur‚oles, moisissures violettes ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/82;1540 14 7bre;;2;22,3 x 20,4;aspect cotonneux, aur‚oles, moisissures violettes, restauration ant‚rieure verso feuillet 1;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/83;1540 16 7bre;;2;30 x 20,3;restauration ant‚rieure avec papier transparent fortement bruni;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/84;1540 ?;;1;21,2 x 17,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/85;vers 1540;;1;21 x 19,7;restauration ant‚rieure … gauche;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/86/1;1540 (vers);;1;11,1 x 12,2;cordelette rouge (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/86/2;1549;;2;25,3 x 17,9;cordelette rouge (avant), lacunes ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/86/3;1568 16 Janvier;;2;25,4 x 18,4;cordelette rouge (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/87;vers 1540;;1;25,3 x 18;d‚chirure au niveau du pli central;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/88;vers 1540 ;;2;25,9 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/89;vers 1540;;24;31,5 x 21,5 x 1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/90;1541 sept 15;;2;25,8 x 17,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/91;1541 15 7bre;;2;27,2 x 18,3;aspect cotonneux, aur‚oles, moisissures violettes, taches brunes, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/92/1;1541 17 7bre;;4;30 x 20,3;cordelette rouge (avant), lacunes haut et bas autour du pli central;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/92/2;1541 19 8bre;;1;8,3 x 28,8;cordelette rouge (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/93;1541 7bre;;2;25,6 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/94;1541 19 7bre … 1620 23 mai;;6;27,5 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/95;1542 sept 9;;6;26,5 x 19,5 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/96;1542 9 7bre;;2;30,3 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/97;1542 6.8bre;;2;29,1 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/98;1542 23 8bre;;2;29 x 20 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/99;1542 21 9bre;;2;29 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/100;1542 24 9bre ;;1;25,3 x 18,2;d‚chirure importante au niveau du pli central (attention manipulations);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/101;1542 4 xbre;;2;24,2 x 17,2;aur‚oles, moisissures violettes, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/102;1542 29 mars;;2;32,5 x 21,5;traces et craquelures de la cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/103;29 mars 1543;;2;32,2 x 21,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/104;1543 15 7bre;;6;26 x 17 x 0,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/105;1543.19 septbre;;8;25,5 x 17,9;"un feuillet 27,2 x 20 ; l'ensemble h = 0,3";;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/106;1543;;1;25,4 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/107;1544 22 avril;;4;28,5 x 19,7 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/108/1;1544 28 avril;;4;30,3 x 20,5;cordelette rose (avant), aur‚oles, traces d'infestation;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/108/2;1557 fev dernier;;6;30,3 x 20,5;cordelette rose;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/109;1544 28 avril;;1;27,2 x 18,4;aspect cotonneux, aur‚oles, moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/110;1544 13 juin;;4;28,7 x 19,3 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/111;1544 28 ao–t;;1;26,8 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/112;1544 17 7bre;;1;24 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/113;5 xbre 1544;;1;29,9 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/114;1544 9 xbre;;4;27,5 x 20,2 ;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/115/1;1545 4 mai;;6;28,5 x 21,5;cordelette blanche et rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/115/2;1562;;2;26,8 x 20,4;cordelette blanche et rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/115/3;1576 6 fev;;1;28 x 19,2;cordelette blanche et rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/115/4;1576 10 fev;;2;27,6 x 20,8;cordelette blanche et rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/115/5;1578 23 xbre;;1;23 x 20,5;cordelette blanche et rose (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/116;1545 9 juillet;;2;26,5 x 17 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/117;1545 23 7bre;;4;28,8 x 19 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/1;1545 24 7bre;;1;25,2 x 17,8;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/2;1563 14 Juin;;2;25,3 x 18;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/3;1565 25 Juin;;2;25,3 x 18;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/4;1566 1er avril;;4;25,4 x 18,5;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/5;1566 10 juin;;2;25,3 x 17,9;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/6;1566 14 juin;;2;25,9 x 18,3;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/7;1579 18 juin;;2;25,5 x 18,3;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/8;1580 6 Juillet;;4;25,5 x 18,4;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/9;1533 18 mai;;4;25,8 x 18,9;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/118/10;1589 25 Juin;;5;25,5 x 18,7;cordelette rose (avant), aspect cotonneux, aur‚oles, feuillets fragiles (fort brunissement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/119;1545 24 7bre;;2;27 x 20;moisissures violettes, aspect contoneux, feuillets fragile;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/120;1545 15 8bre;;4;28,5 x 19,3;dernier feuillet verso : traces noires(encrassement) ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/121;1545/46 22 fev;;6;25,7 x 20,5 ;aur‚oles, trace blanche sur le pli central;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/3/122;1545 juin 2 et 5;;4;26,3 x 17,5 ;;;;;;;;;;;;;;;;;;;
;"4300/4
(1546 … 1557)";1546 … 1553;;;61;Ms 4300/4/1;1546 15 juin;;26;27 x 17,5 x 0,6;aur‚oles, moisissures violettes, traces d'infestation (galerie);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/2;1546 20 juin;;2;26,1 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/3;1546;;2;26,8 x 19,8;r‚paration verso dernier feuillet au niveau du pli central;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/4;14 mai 1547;;6;28 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/5;1547 juin 11;;6;26,8 x 19,3 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/6;1547 18 juin;;8;29,6 x 18,6 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/7/1;1547 11 juin;;2;30,6 x 19,8;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/7/2;1553 23 xbre;;4;30,1 x 19,8;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/8;1547 24 juin;;3;28,6 x 19,9;cordelette rose et beige;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/9/1;1547 24 juin;;4;27,7 x 20,2;cordelette rouge (avant) et reli‚ par cordelette beige (parchemin);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/9/2;1548 12 ao–t;;4;26,7 x 19,8;cordelette rouge (avant) et reli‚ par cordelette beige (parchemin);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/10/1;1547 juin 24;;2;27,6 x 19,8;reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/10/2;1547 24 juin;;2;27,6 x 19,8;reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/11;1547.24 juin;;4;28,4 x 20,3;cordelette;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/12;1547.8 9bre 1552-26 fevrier;;6;29,2 x 21;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/13;1547 14 xbre;;6;26,8 x 18 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/14;1547;;4;24,5 x 18,1;moisissures violettes, trou au niveau du pli central;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/15;1546 1er ao–t;;4;28,3 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/16;1548.2 xbre;;1;27 x 18,7;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/17;1548;;1;25,1 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/18;1549 11 mai;;1;25,5 x 17,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/4/19;1549 26 juin;;1;25,1 x 19,6;;;;;;;;;;;;;;;;;;;
